2024-06-06 16:50:04.384753: Prioritization done. Final prioritized list: [2, 14, 6, 8, 4, 0, 10, 5, 9, 7, 1, 13, 12, 11, 3]
2024-06-06 16:50:04.400435: Prioritization done. Final prioritized list: [2, 14, 6, 8, 4, 0, 10, 5, 9, 7, 1, 13, 12, 11, 3]
2024-06-06 16:50:05.120032: Prioritization done. Final prioritized list: [2, 14, 6, 8, 4, 0, 10, 5, 9, 7, 1, 13, 12, 11, 3]
2024-06-06 16:50:05.135464: Prioritization done. Final prioritized list: [2, 14, 6, 8, 4, 0, 10, 5, 9, 7, 1, 13, 12, 11, 3]
2024-06-06 16:50:05.720158: Prioritization done. Final prioritized list: [2, 14, 6, 8, 4, 0, 10, 5, 9, 7, 1, 13, 12, 11, 3]
2024-06-06 16:50:05.735032: Prioritization done. Final prioritized list: [2, 14, 6, 8, 4, 0, 10, 5, 9, 7, 1, 13, 12, 11, 3]
2024-06-06 16:50:06.040275: Prioritization done. Final prioritized list: [2, 14, 6, 8, 4, 0, 10, 5, 9, 7, 1, 13, 12, 11, 3]
2024-06-06 16:50:06.056600: Prioritization done. Final prioritized list: [2, 14, 6, 8, 4, 0, 10, 5, 9, 7, 1, 13, 12, 11, 3]
2024-06-06 16:50:06.225967: Prioritization done. Final prioritized list: [2, 14, 6, 8, 4, 0, 10, 5, 9, 7, 1, 13, 12, 11, 3]
2024-06-06 16:50:06.239985: Prioritization done. Final prioritized list: [2, 14, 6, 8, 4, 0, 10, 5, 9, 7, 1, 13, 12, 11, 3]
2024-06-06 16:50:06.411160: Prioritization done. Final prioritized list: [2, 14, 6, 8, 4, 0, 10, 5, 9, 7, 1, 13, 12, 11, 3]
2024-06-06 16:50:06.425675: Prioritization done. Final prioritized list: [2, 14, 6, 8, 4, 0, 10, 5, 9, 7, 1, 13, 12, 11, 3]
2024-06-06 16:50:17.083133: start
2024-06-06 16:50:19.010478: Prioritization done. Final prioritized list: [2, 14, 6, 8, 4, 0, 10, 5, 9, 7, 1, 13, 12, 11, 3]
2024-06-06 16:50:19.026577: Prioritization done. Final prioritized list: [2, 14, 6, 8, 4, 0, 10, 5, 9, 7, 1, 13, 12, 11, 3]
2024-06-06 16:59:30.705154: Prioritization done. Final prioritized list: [2, 14, 6, 8, 4, 0, 10, 5, 9, 7, 1, 13, 12, 11, 3]
2024-06-06 16:59:30.721210: Prioritization done. Final prioritized list: [2, 14, 6, 8, 4, 0, 10, 5, 9, 7, 1, 13, 12, 11, 3]
2024-06-06 17:03:47.736208: start
2024-06-06 17:04:46.547695: parameter 0, 1 < 0
2024-06-06 17:04:47.177975: parameter 1, 0 < 1
2024-06-06 17:04:47.741883: parameter 0, 2 < 0
2024-06-06 17:04:48.451888: parameter 0, 1 < 2
2024-06-06 17:04:49.044716: parameter 1, 2 < 1
2024-06-06 17:04:49.754651: parameter 1, 0 < 2
2024-06-06 17:04:50.424249: param 0, 3<2
2024-06-06 17:04:51.110592: parameter 0, 1 < 3
2024-06-06 17:04:51.778338: param 1, 3<2
2024-06-06 17:04:52.432894: parameter 1, 0 < 3
2024-06-06 17:04:53.048658: param 0, 4<2
2024-06-06 17:04:53.674000: parameter 0, 3 < 4
2024-06-06 17:04:54.316866: param 1, 4<2
2024-06-06 17:04:54.959262: parameter 1, 3 < 4
2024-06-06 17:04:55.561930: param 0, 5<4
2024-06-06 17:04:56.216935: parameter 0, 3 < 5
2024-06-06 17:04:56.827724: param 1, 5<4
2024-06-06 17:04:57.414658: parameter 1, 3 < 5
2024-06-06 17:04:57.962016: param 0, 6<4
2024-06-06 17:04:58.600646: param 0, 3<6
2024-06-06 17:04:59.132643: parameter 0, 6 < 5
